brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,gpu_brand,gpu_type,display_size,resolution_width,resolution_height
lenovo,Lenovo V15 82KB00RJIH Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),156006,65,intel,core i5,4,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
dell,Dell Inspiron 3530 2023 Laptop (13th Gen Core i3/ 8GB/ 1TB SSD/ Win11 Home),152288,56,intel,core i3,5,8,SSD,1024,NONE,intel,integrated,15.6,1920,1080
dell,Dell Inspiron 3520 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),127318,58,intel,core i3,2,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
lenovo,Lenovo IdeaPad Slim 5 16IRL8 82XF003JIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),279510,64,intel,core i7,14,16,SSD,512,NONE,intel,integrated,16.0,1920,1080
lenovo,Lenovo IdeaPad Slim 5i 82XD0040IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),288806,62,intel,core i7,10,16,SSD,512,NONE,intel,integrated,14.0,1920,1200
dell,Dell Inspiron 13 5330 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),328646,63,intel,core i7,12,16,SSD,1024,NONE,intel,integrated,13.3,2560,1600
dell,Dell Inspiron 3525 Laptop (AMD Ryzen R3 5300U/ 8GB/ 512GB SSD/ Win11),109526,58,amd,ryzen 3,4,8,SSD,512,NONE,amd,integrated,15.6,1920,1080
dell,Dell Inspiron 5330 2023 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),290466,62,intel,core i5,12,16,SSD,1024,NONE,intel,integrated,13.3,2560,1600
dell,Dell Inspiron 3535 2023 Laptop (AMD Ryzen R5-7520U/ 8GB/ 1TB SSD/ Win11),159326,54,amd,ryzen 5,4,8,SSD,1024,NONE,amd,integrated,15.6,1920,1080
dell,Dell Inspiron 7430 2023 2 in 1 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11),257266,59,intel,core i5,10,8,SSD,1024,NONE,intel,integrated,14.0,1920,1200
dell,Dell Vostro 3430 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),137557,57,intel,core i3,5,8,SSD,512,NONE,intel,integrated,14.0,1920,1080
hp,HP Victus 15-FB0142AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),248834,71,amd,ryzen 5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
dell,Dell Inspiron 7430 2 in 1 Touch Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),289802,60,intel,core i5,10,16,SSD,1024,NONE,intel,integrated,14.0,1920,1200
dell,Dell Vostro 3430 VN3430RHXFG001ORB1 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),200826,63,intel,core i5,10,8,SSD,512,NONE,intel,integrated,14.0,1920,1080
lenovo,Lenovo Yoga 6 82WV0058IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),258926,60,intel,core i5,12,16,SSD,512,NONE,intel,integrated,14.0,1920,1200
asus,Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),298766,76,intel,core i7,14,16,SSD,1024,NONE,nvidia,dedicated,15.6,1920,1080
